id,question,ground_truth,answer,contexts,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall,avg_score
S01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S02,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S03,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S04,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S05,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
S06,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple,0.6571,0.2667,0.1667,1.0,0.5226
S07,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple,0.6333,0.4706,0.3333,1.0,0.6093
S08,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple,0.7429,0.6111,0.3636,1.0,0.6794
S09,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S10,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S11,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S12,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S13,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
S14,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple,0.6571,0.2667,0.1667,1.0,0.5226
S15,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple,0.6333,0.4706,0.3333,1.0,0.6093
S16,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple,0.7429,0.6111,0.3636,1.0,0.6794
S17,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
S18,So ngay nghi phep co tang theo tham nien khong?,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,"[""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",simple,0.8714,0.3333,0.3125,1.0,0.6293
S19,Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,"[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",simple,0.7176,0.8,0.4211,1.0,0.7347
S20,Don xin nghi phep can ai phe duyet?,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,"[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",simple,0.95,0.4286,0.3571,1.0,0.6839
S21,Nghi om can nop giay xac nhan y te trong bao lau?,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,"[""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",simple,0.7375,0.4706,0.4118,1.0,0.655
S22,Mat khau he thong phai doi bao lau mot lan?,Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,"[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.""]",simple,0.6571,0.2667,0.1667,1.0,0.5226
S23,Du lieu nhan su duoc luu toi da bao lau?,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,"[""Ho so nhan su luu tru toi da 5 nam.""]",simple,0.6333,0.4706,0.3333,1.0,0.6093
S24,Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,"[""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",simple,0.7429,0.6111,0.3636,1.0,0.6794
S25,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,"[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",simple,0.7882,0.6667,0.5882,1.0,0.7608
R01,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",reasoning,0.7778,0.325,0.2848,1.0,0.5969
R02,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",reasoning,0.7429,0.4242,0.3452,1.0,0.6281
R03,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",reasoning,0.4,0.05,0.1515,0.4074,0.2522
R04,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Ho so nhan su luu tru toi da 5 nam.""]",reasoning,0.6903,0.2927,0.1493,1.0,0.5331
R05,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Ho so nhan su luu tru toi da 5 nam."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",reasoning,0.6919,0.381,0.1788,1.0,0.5629
R06,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Moi 5 nam tham nien cong them 1 ngay nghi phep.""]",reasoning,0.7778,0.325,0.2848,1.0,0.5969
R07,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",reasoning,0.4429,0.0769,0.4,0.4583,0.3445
R08,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",reasoning,0.8286,0.35,0.1851,1.0,0.5909
R09,Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Ho so nhan su luu tru toi da 5 nam.""]",reasoning,0.6903,0.2927,0.1493,1.0,0.5331
R10,Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Ho so nhan su luu tru toi da 5 nam."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",reasoning,0.6919,0.381,0.1788,1.0,0.5629
R11,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.""]",reasoning,0.4429,0.0976,0.3636,0.4074,0.3279
R12,Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Nghi khong luong toi da 30 ngay moi nam va can phe duyet.""]",reasoning,0.7429,0.4242,0.3452,1.0,0.6281
R13,Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Don xin nghi phai duoc Giam doc bo phan phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",reasoning,0.8286,0.35,0.1851,1.0,0.5909
M01,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Don xin nghi phai duoc Giam doc bo phan phe duyet.""]",multi_context,0.8286,0.4242,0.2857,1.0,0.6346
M02,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Noi dung IT khong lien quan den cau hoi nay.""]",multi_context,0.5579,0.5429,0.1748,1.0,0.5689
M03,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context,0.7,0.4324,0.1874,1.0,0.58
M04,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context,0.7097,0.4054,0.1905,1.0,0.5764
M05,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Noi dung IT khong lien quan den cau hoi nay.""]",multi_context,0.5737,0.4242,0.1786,1.0,0.5441
M06,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",multi_context,0.7484,0.5429,0.2863,1.0,0.6444
M07,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context,0.7,0.4324,0.1874,1.0,0.58
M08,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context,0.7097,0.4054,0.1905,1.0,0.5764
M09,So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","[""Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam."", ""Noi dung IT khong lien quan den cau hoi nay.""]",multi_context,0.5737,0.4242,0.1786,1.0,0.5441
M10,So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","[""Nghi khong luong toi da 30 ngay moi nam va can phe duyet."", ""Nghi om phai nop giay xac nhan trong 3 ngay lam viec.""]",multi_context,0.7484,0.5429,0.2863,1.0,0.6444
M11,So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","[""Chinh sach CNTT quy dinh doi mat khau moi 90 ngay."", ""Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.""]",multi_context,0.7,0.4324,0.1874,1.0,0.58
M12,So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","[""Moi 5 nam tham nien cong them 1 ngay nghi phep."", ""Ho so nhan su luu tru toi da 5 nam.""]",multi_context,0.7097,0.4054,0.1905,1.0,0.5764
