user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.16120943508840122,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.147207281822863,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11528028243734523,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.050107050714691355,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.17479500868670544,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.14717370080654887,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11579537827223335,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.05013270148250826,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18101079846045356,0.9999999999,1.0
So ngay nghi phep co tang theo tham nien khong?,['Moi 5 nam tham nien cong them 1 ngay nghi phep.'],Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.,1.0,0.0,0.9999999999,0.5
Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?,['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.'],Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.,1.0,0.17236321317090375,0.9999999999,1.0
Don xin nghi phep can ai phe duyet?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,Don xin nghi phep phai duoc Giam doc bo phan phe duyet.,1.0,0.0,0.9999999999,1.0
Nghi om can nop giay xac nhan y te trong bao lau?,['Nghi om phai nop giay xac nhan trong 3 ngay lam viec.'],Can nop giay xac nhan y te trong vong 3 ngay lam viec.,Can nop giay xac nhan y te trong vong 3 ngay lam viec.,0.0,0.14718029264636745,0.9999999999,1.0
Mat khau he thong phai doi bao lau mot lan?,['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.'],Mat khau phai duoc thay doi moi 90 ngay.,Mat khau phai duoc thay doi moi 90 ngay.,1.0,0.0,0.9999999999,1.0
Du lieu nhan su duoc luu toi da bao lau?,['Ho so nhan su luu tru toi da 5 nam.'],Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.,1.0,0.11579537827223335,0.9999999999,1.0
Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?,['Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.'],Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,Bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.,0.0,0.050107050714691355,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam.,0.5,0.18115011812642723,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Moi 5 nam tham nien cong them 1 ngay nghi phep.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",1.0,0.11420810605239747,0.99999999995,0.6666666666666666
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Nghi khong luong toi da 30 ngay moi nam va can phe duyet.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.",1.0,0.14135870531626546,0.9999999999,1.0
Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,['Don xin nghi phai duoc Giam doc bo phan phe duyet.'],"Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.",0.5,0.0,0.9999999999,0.5
Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.', 'Ho so nhan su luu tru toi da 5 nam.']","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",1.0,0.10099221775158382,0.99999999995,1.0
Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"['Ho so nhan su luu tru toi da 5 nam.', 'Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.']","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.",1.0,0.05642779073787852,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Moi 5 nam tham nien cong them 1 ngay nghi phep.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",1.0,0.11421699261174661,0.99999999995,0.6666666666666666
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],"Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.",0.0,0.0,0.9999999999,0.5
Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"['Don xin nghi phai duoc Giam doc bo phan phe duyet.', 'Nghi om phai nop giay xac nhan trong 3 ngay lam viec.']","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.",0.5,0.09119046944667283,0.99999999995,1.0
Mat khau he thong phai doi bao lau mot lan? Neu ket hop voi quy dinh 'Du lieu nhan su duoc luu toi da bao lau?' thi can luu y gi?,"['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.', 'Ho so nhan su luu tru toi da 5 nam.']","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Mat khau phai duoc thay doi moi 90 ngay. Ngoai ra, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",1.0,0.10005298886147439,0.99999999995,1.0
Du lieu nhan su duoc luu toi da bao lau? Neu ket hop voi quy dinh 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?' thi can luu y gi?,"['Ho so nhan su luu tru toi da 5 nam.', 'Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.']","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo. Ngoai ra, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.",1.0,0.056331740017351965,0.9999999999,1.0
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'So ngay nghi phep co tang theo tham nien khong?' thi can luu y gi?,['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.'],"Chinh sach can xem xet them, hien chua co thong tin du de ket luan.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep.",0.0,0.0,0.9999999999,0.3333333333333333
Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam? Neu ket hop voi quy dinh 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' thi can luu y gi?,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Nghi khong luong toi da 30 ngay moi nam va can phe duyet.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Ngoai ra, nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam.",1.0,0.14134157728261404,0.9999999999,1.0
Don xin nghi phep can ai phe duyet? Neu ket hop voi quy dinh 'Nghi om can nop giay xac nhan y te trong bao lau?' thi can luu y gi?,"['Don xin nghi phai duoc Giam doc bo phan phe duyet.', 'Nghi om phai nop giay xac nhan trong 3 ngay lam viec.']","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Don xin nghi phep phai duoc Giam doc bo phan phe duyet. Ngoai ra, can nop giay xac nhan y te trong vong 3 ngay lam viec.",0.5,0.13250692113101523,0.99999999995,1.0
So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Don xin nghi phai duoc Giam doc bo phan phe duyet.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.",1.0,0.11657870955928427,0.9999999999,1.0
So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.', 'Noi dung IT khong lien quan den cau hoi nay.']","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.",0.5,0.12372618837396447,0.9999999999,0.5
So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.', 'Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.']","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.",1.0,0.0,0.99999999995,1.0
So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"['Moi 5 nam tham nien cong them 1 ngay nghi phep.', 'Ho so nhan su luu tru toi da 5 nam.']","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",1.0,0.10823026355220257,0.99999999995,1.0
So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Noi dung IT khong lien quan den cau hoi nay.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.",0.5,0.11632672796270453,0.9999999999,0.5
So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.', 'Nghi om phai nop giay xac nhan trong 3 ngay lam viec.']","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.",1.0,0.12387700770611729,0.99999999995,1.0
So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.', 'Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.']","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.",1.0,0.0,0.99999999995,1.0
So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"['Moi 5 nam tham nien cong them 1 ngay nghi phep.', 'Ho so nhan su luu tru toi da 5 nam.']","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",1.0,0.10823026355220257,0.99999999995,1.0
So sanh va tong hop: 'Nhan vien chinh thuc duoc nghi phep nam bao nhieu ngay moi nam?' va 'Don xin nghi phep can ai phe duyet?'.,"['Chinh sach nhan su quy dinh nhan vien chinh thuc duoc nghi phep 12 ngay moi nam.', 'Noi dung IT khong lien quan den cau hoi nay.']","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.","Nhan vien chinh thuc duoc nghi phep nam 12 ngay lam viec moi nam. Dong thoi, don xin nghi phep phai duoc Giam doc bo phan phe duyet.",0.5,0.15555118040666513,0.9999999999,0.5
So sanh va tong hop: 'Nhan vien duoc nghi phep khong luong toi da bao nhieu ngay moi nam?' va 'Nghi om can nop giay xac nhan y te trong bao lau?'.,"['Nghi khong luong toi da 30 ngay moi nam va can phe duyet.', 'Nghi om phai nop giay xac nhan trong 3 ngay lam viec.']","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.","Nhan vien duoc nghi phep khong luong toi da 30 ngay moi nam. Dong thoi, can nop giay xac nhan y te trong vong 3 ngay lam viec.",1.0,0.15189383293968156,0.99999999995,1.0
So sanh va tong hop: 'Mat khau he thong phai doi bao lau mot lan?' va 'Ai la dau moi tiep nhan yeu cau ve bao ve du lieu ca nhan?'.,"['Chinh sach CNTT quy dinh doi mat khau moi 90 ngay.', 'Yeu cau lien quan den du lieu ca nhan gui den bo phan Phap che va Bao ve du lieu.']","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.","Mat khau phai duoc thay doi moi 90 ngay. Dong thoi, bo phan Phap che va Bao ve du lieu la dau moi tiep nhan yeu cau.",1.0,0.0,0.9999999999,1.0
So sanh va tong hop: 'So ngay nghi phep co tang theo tham nien khong?' va 'Du lieu nhan su duoc luu toi da bao lau?'.,"['Moi 5 nam tham nien cong them 1 ngay nghi phep.', 'Ho so nhan su luu tru toi da 5 nam.']","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.","Co. Moi 5 nam tham nien se duoc cong them 1 ngay nghi phep. Dong thoi, du lieu nhan su duoc luu toi da 5 nam theo chinh sach noi bo.",1.0,0.10828815016417531,0.99999999995,1.0
